Restaurant #,PunchhKey
8885,eebe2a64301eaa9ca85db80e2f882472
8886,eebe2a64301eaa9ca85db80e2f882472
8887,3d1e8eba01dde9735f141672e5227c10
8888,3d1e8eba01dde9735f141672e5227c10
1100001,925322e612c6d06f408925a090eab39d
1100003,4470c84cef8004bfccff8731346dcc81
1100004,bb13665abafcd447a3117dc00d4aa0e5
1100005,c69c730d97765ca17727c354ead869ed
1100006,728f51bc03e706ea3c5a0a59adc8e439
1100007,83b1537e1e0d1dcd3117090bb1c03355
1100008,e067716af76bf0099f44036afb454153
1100009,6b28843e2a26b007c7db1a7b8a957cd5
1100011,8f669882e2321bb688095ffb83d7dc83
1100012,f6e02f12bc1f16bcc80bb3fd93c07f1b
1100013,12948b4c98b5ed53a530dd23ab7d5092
1100014,8533cb0e9a253062dceaaa61408ba4eb
1100016,fe6014e285b143a683ead04e070e9bc9
1100017,428c43c4421e80d1c741fb61440db560
1100018,5d35ff0220f3f07ac16eb47f378707c1
1100020,1025db53a9ad38ef18f465a64ac69daf
1100021,886d92129fde0b4a9f073e08ff9e1865
1100025,552ce655919647bffb32b5874327c3ed
1100026,824386bb7d60240a6e84ea18ffd813db
1100027,d02cbf58b5f484aa36ef8b70beff12a8
1100029,664c996328073a6fac84fd797f66430c
1100030,171dc277dd70bb033c4dd5a2364cfb81
1100038,46b526d31c69c50a86c72dfa433bce7b
1100042,827f0b6418f4a50677ce707b2a5467f5
1100043,950b3460ba8b86d3e6237cef382de6b2
1100048,9bb4c1b0cf2ea834300c24c3284b2eb0
1100049,e0902e866ce103a70acf55a486211425
1100051,da781570ae16ca673c080947596c35bd
1100054,54c82d6088e75b0224422bbd599001a4
1100055,4722c38c10898501078f98995f94d1f7
1100057,036d3813db331d73d321d377f3cb28bb
1100058,d934a7e4971f629f7f1d5257390bfc3e
1100059,52cc2add56da8b112d3711de08e1b434
1100061,581af97e9f187d1653b6b9efb111da10
1100062,fa9e196da9fe8b8b0eec9b1a8534ef5a
1100064,eef4a2fadd0fb5adfcb62bfae80a3778
1100066,5e6c2ac821b5e010b923f9f1c65a0127
1100070,3a56c8453482f74e8f35a17f3e6eb729
1100072,2ece39a94069efa9e9bb7b00dd302d6c
1100075,21541876cf2dfa01b12521e342964187
1100076,b58c770737c49a756b82e7c7ef44b509
1100077,edba7334b855f86294cbee7d20c31a6e
1100079,15c7a6167789fdc7f97786c7c6310326
1100080,f83e70ec2a9183db70846d34ae870609
1100083,954e2d4d129e1e76d568a9e4c1a49828
1100085,43d23e156be5f5d6eb4e9162489450e6
1100086,f3fa3bb17cfc8dbab529a1204f4f7ba7
1100087,4c625a01954e481c3d9a77848bbb59ec
1100089,c9f571ac46c3ece248cf36fa038fdd91
1100090,1549e1f80728a99176dfaadc4e4a67a1
1100091,94b095f23d5be889a0dd234748319a02
1100092,883830de230c36cfed7a150eb2f32810
1100093,fab3a52c8f3c268046f79f02ad5f0772
1100095,a850db6644aa1f4119d773ede709bc52
1100097,1fe0c7540f72f2af8e33e594f4afc99a
1100102,b542271f342961047415cbc548812380
1100104,83388c1cb9646ad4d591bb162e519b2a
1100108,04830003ada22f8894921f184c176ef7
1100109,0176fabc6bf4566d00e1d07cfe0979d9
1100111,7b5510d78a93f66ea069a784162e6ced
1100112,5662d35c58dcc9d0d004e99f9add4480
1100114,88c8e455992dcde48fef700678f35c07
1100115,b4da7889c621dd73e4a6654a2e68f854
1100116,93e4f1de5afcccdb0c144f7c89eab7b5
1100117,f007983b5b203d8dbb9aecb15bfd7cb3
1100118,5c3acd6c64b9e4ea3472bad83d3022b0
1100119,17c7ccc923c0b6a0ef6da272a8c50770
1100120,6e8834317c1ce0a7caf7545361fc0ec0
1100122,59af5a1e0c279401a0793e1d38eca7f9
1100123,268e7cf30a3bd31394e5ffa4c5a3f44e
1100125,69748c28b4a1a35ec7b860af0eb01a42
1100126,b7e715c5fff2a22576f77e19fbbf5326
1100127,a72557621b06b6896800682a939ec20b
1100128,b6a6ae4eacc148885cfcdf5cc83d9ddf
1100131,bdbfd32f6ac86cade183b2e1f29639c3
1100133,bfd8ca825dc4c5604349a3d18c0b53b8
1100134,c4bee0361c18ec94c8337b340a13eab6
1100135,8380496c9d3d71775ffb8f486403899d
1100137,23ac815c1cebda5eac964493eca6a762
1100140,c4361c4aa0835a58de217721c1d8eb0d
1100141,e91d1fa75b697bdd285e52ed9c25a7d6
1100142,7dad010a8322b36b3cc8c2587df359f3
1100143,73ffd55614b1665a335ae246f148e9e3
1100144,5b0f6279a7f92ba89d623f69a0170477
1100145,8438b8c3e448c714ec72ea4d78fea9cc
1100146,f1fe7c70f6c17694cad3a41431db310b
1100147,0d990e0c392fa021d671350586657540
1100150,a490975815081e51c9738bdffbef752e
1100151,c6c6973fadec1ade11492c1df6e6efb6
1100152,c93aa8096c4496f50a7cc2a0abed2280
1100153,12942e6c06e10930649171ee682a020d
1100154,1d9a5acc741142df976a8e6f376a60e8
1100157,67ea583a9e9913786ecedb285696efc4
1100158,97489ff8edada6b23e4864854de817ea
1100159,079b7cd20be9833aeb03a839efcd986f
1100162,a2f743eca619e77f286af41e92648458
1100163,7d46b2ac1b7d321f57d536d9d0d15e3f
1100168,8365a8885cc8bf0d30e4d7d4d1fc89aa
1100170,d4c7e4bbceee3c45217465c5715adb4e
1100171,21c7196b5ca7856a903f6c3c34927579
1100172,ea6d8ba45d056c7e1b50f9f79d91eb46
1100174,9cbe665e4cab535fa66c371866489b2e
1100175,60b00b61a10ba28d5b3672555094e391
1100176,b0b3e5d72578ce63b2b0f91c5573dfbd
1100178,2fc82e79a431d15239ccd6a7884b54fb
1100180,d487735e13538f2d592488ecb63838d7
1100181,1d544117f6d71fd255de4607859fca4a
1100182,2c663d77f6a75331b866c516d5180b95
1100183,0366e093d6d215a4a99762a27506307e
1100184,00cc7cb2a30c1d4aff710e23b8d65a97
1100187,64b8e50c79b4214bbba5955165a5aaa6
1100188,32fc37d0f166e72a1993e43f319c353b
1100189,062836c349fff28c45a1698af7f06e1a
1100190,888c6567edd85dad8b3bf75885a6632f
1100192,0c2512b5c1d174380a4aab945a5a2e52
1100194,98cda6d896ee2554e047e6340d7e743f
1100195,7075f7bb4b52cb202a411cc051dec8a8
1100196,3f5610b68b015aa000db3c34911f6ec6
1100197,c536fd304d65b4630987fd12e2d24aec
1100199,d8bd6afaa5d58f92cfea12b6ba392576
1100201,a581faaeef370cd472d6384f78cee78c
1100202,5da21572471089505728ac3b01f454ea
1100203,b242af3dc7312320b4f715d441c95bc5
1100205,71c2a9d37eecbe3030effa5b1549bb0c
1100206,26b6457f0f97089761b8bd692fb69f92
1100207,f08867e2cb01b20553a4ad7b73a80041
1100208,b4fbff771aeae03b7aaa08b3cb1cdfcb
1100209,bb9937f822e7b9490f9dff8b61ccb786
